name,price,stock,category,brand,average_ratings,ratings_count,image,description
Organic Bananas 1kg,,,,,,,,"Our organic bananas are grown using natural farming methods that prioritize the health of both the fruit and the environment. These bananas are free of harmful chemicals and pesticides, making them a healthier choice for you and your family."
Organic Apples 1.5kg,,,,,,,,"Our organic apples are grown using only natural farming methods, without the use of harmful pesticides or chemicals. These apples are packed with flavor and nutrition, making them a great snack or ingredient for your favorite recipes"
Non-GMO Tomatoes 2kg,,,,,,,,"Our non-GMO tomatoes are grown using traditional farming methods, without the use of genetically modified organisms. These tomatoes are packed with flavor and nutrition, making them a great choice for salads, sauces, and other dishes."
Locally Sourced Kale,,,,,,,,"Our locally sourced kale is grown by farmers in your community, using sustainable farming practices. This kale is packed with vitamins and minerals, making it a healthy addition to your diet."
Non-GMO Avocados 5s,,,,,,,,"Our non-GMO avocados are grown using natural farming methods, without the use of genetically modified organisms. These avocados are a great source of healthy fats and are perfect for guacamole, salads, and sandwiches"
Strawberries 500g,,,,,,,,"Our juicy strawberries are perfect for snacking or adding to your favorite recipes. These berries are packed with flavor and nutrition, making them a healthy and delicious choice",,,,,,,,
Blueberries 500g,,,,,,,,"Our sweet and tangy blueberries are a great addition to your breakfast or snack. These berries are rich in antioxidants and other nutrients, making them a healthy choice for your diet"
Organic Quinoa,,,,,,,,"Our organic quinoa is a nutritious and versatile grain that can be used in a variety of dishes, from salads to stir-fries. This quinoa is grown using natural farming methods, without the use of harmful chemicals or pesticides"
Gluten-Free Pasta 1kg,,,,,,,,"Our gluten-free pasta is made with only the highest quality ingredients, including rice flour and quinoa flour. This pasta is perfect for those with gluten sensitivities or allergies and is a delicious and healthy alternative to traditional pasta."
Non-GMO Popcorn Kernels 2kg,,,,,,,,"Our non-GMO popcorn kernels are perfect for movie nights or anytime you want a healthy and delicious snack. These kernels are grown using traditional farming methods, without the use of genetically modified organisms."
Whole Grain Bread,,,,,,,,"Our whole grain bread is made with only the finest ingredients, including whole wheat flour and natural sweeteners. This bread is perfect for sandwiches or as a side to your favorite soup or salad."
Organic Granola,,,,,,,,"Our organic granola is a delicious and nutritious breakfast option, made with only natural ingredients like whole grain oats, nuts, and dried fruit. This granola is perfect for topping your yogurt or as a snack on its own"
Organic Applesauce Cups,,,,,,,,"Our organic applesauce cups are a great snack for kids and adults alike. Made with only organic apples and natural sweeteners, these cups are perfect for on-the-go or as a lunchbox addition."
Non-GMO trail mix,,,,,,,,"This trail mix is made with high-quality ingredients that are free from genetically modified organisms. It includes a variety of nuts, seeds, and dried fruits for a healthy snack that is perfect for on-the-go"
Organic fruit bars,,,,,,,,These delicious fruit bars are made with organic ingredients and contain no artificial flavors or preservatives. They are a convenient and healthy snack for when you're on-the-go
Natural beef jerky,,,,,,,,"Made with 100% natural beef, this jerky is free from artificial preservatives, colors, and flavors. It's a protein-packed snack that is perfect for when you're on the go or need a quick pick-me-up"
Organic popcorn,,,,,,,,"This popcorn is made from organic kernels and is free from artificial flavors, colors, and preservatives. It's a healthy and delicious snack that is perfect for movie night or anytime you need a tasty treat."
Organic green tea,,,,,,,,This high-quality green tea is made from organic tea leaves and is free from artificial flavors and preservatives. It's a refreshing and healthy beverage that is perfect for any time of day.
Organic coffee,,,,,,,,"Made from the finest organic coffee beans, this coffee is rich, flavorful, and free from harmful chemicals and additives. It's a perfect way to start your day or to enjoy as an afternoon pick-me-up."
Coconut water,,,,,,,,This refreshing beverage is made from pure coconut water and is free from added sugars or artificial ingredients. It's a great way to rehydrate after a workout or on a hot day
Almond milk,,,,,,,,"This creamy and delicious almond milk is made from high-quality almonds and is free from dairy, soy, and gluten. It's a perfect alternative to dairy milk for anyone who is lactose intolerant or vegan."
Kombucha,,,,,,,,This fermented tea is made from organic ingredients and is rich in probiotics and antioxidants. It's a healthy and refreshing beverage that is perfect for any time of day.
Locally sourced eggs,,,,,,,,These fresh eggs are sourced from local farms and are free from hormones and antibiotics. They are a great source of protein and can be enjoyed in a variety of ways.
Grass-fed beef,,,,,,,,This high-quality beef is sourced from grass-fed cattle and is free from hormones and antibiotics. It's a lean and flavorful protein source that is perfect for grilling or roasting
Non-GMO chicken breast,,,,,,,,This chicken breast is free from genetically modified organisms and is sourced from farms that raise their chickens without the use of hormones or antibiotics. It's a healthy and versatile protein source that can be used in a variety of dishes
Wild-caught salmon,,,,,,,,"This salmon is sustainably sourced and wild-caught, making it a healthy and environmentally friendly choice. It's rich in omega-3 fatty acids and can be enjoyed baked, grilled, or smoked"
Vegan protein powder,,,,,,,,"This plant-based protein powder is free from dairy, soy, and gluten and is perfect for anyone who follows a vegan or vegetarian diet. It's a great source of protein and can be used in smoothies, shakes, and other recipes"
Organic yogurt,,,,,,,,"This organic yogurt is made with milk from grass-fed cows and is free from artificial flavors, colors, and preservatives. It comes in a variety of flavors, including plain, strawberry, and blueberry"
Grass-fed butter,,,,,,,,This grass-fed butter is made with milk from cows that graze on pasture year-round. It's free from antibiotics and growth hormones and is a good source of healthy fats. Each package contains 8 oz of butter.
Organic cheese,,,,,,,,"This organic cheese is made from milk from grass-fed cows and is free from antibiotics and growth hormones. It comes in a variety of flavors, including cheddar, mozzarella, and pepper jack. Each block contains 8 oz of cheese."
Soy milk 1litre,,,,,,,,"This non-dairy milk alternative is made from either oats or soybeans and is free from lactose, cholesterol, and saturated fat. It's a great option for anyone who is lactose intolerant or following a vegan diet. Each carton contains 32 oz of milk."
Non-GMO frozen fish fillets,,,,,,,,"These non-GMO frozen fish fillets are made from sustainably sourced fish and are free from antibiotics and growth hormones. They come in a variety of flavors, including salmon, tilapia, and cod. Each package contains 10 oz of fish."
Organic whole wheat bread,,,,,,,,"This organic whole wheat bread is made with flour that's been milled from organic wheat berries. It's free from artificial preservatives and is a good source of fiber. Each loaf contains 16 slices of bread.
",,,,,,,,"This gluten-free bread is made with a blend of gluten-free flours and is free from artificial flavors, colors, and preservatives. It's a great option for anyone with celiac disease or gluten intolerance. Each loaf contains 16 slices of bread."
Organic bagels,,,,,,,,"These organic bagels are made with organic flour and are free from artificial preservatives. They come in a variety of flavors, including plain, everything, and cinnamon raisin. Each package contains 6 bagels."
Whole grain crackers,,,,,,,,"These whole grain crackers are made with a blend of whole wheat flour, oats, and seeds. They're a great source of fiber and come in a variety of flavors, including sea salt, rosemary, and garlic. Each package contains 8 oz of crackers."
Organic muffins,,,,,,,,"These organic muffins are made with organic flour and are free from artificial preservatives. They come in a variety of flavors, including blueberry, banana nut, and chocolate chip."
